Gene,sgRNA,T47D_veh|beta,T47D_veh|z,T47D_veh|p-value,T47D_veh|fdr,T47D_veh|wald-p-value,T47D_veh|wald-fdr,T47D_E2|beta,T47D_E2|z,T47D_E2|p-value,T47D_E2|fdr,T47D_E2|wald-p-value,T47D_E2|wald-fdr,MCF7_veh|beta,MCF7_veh|z,MCF7_veh|p-value,MCF7_veh|fdr,MCF7_veh|wald-p-value,MCF7_veh|wald-fdr,MCF7_E2|beta,MCF7_E2|z,MCF7_E2|p-value,MCF7_E2|fdr,MCF7_E2|wald-p-value,MCF7_E2|wald-fdr
PDCD2,6,-0.62662,-10.564,0.014119,0.71429,4.37E-26,1.96E-24,-0.64271,-9.5845,0.013614,0.56897,9.29E-22,4.98E-20,-0.92074,-14.246,0.0053174,0.58128,4.75E-46,1.30E-43,-0.71715,-11.52,0.0097181,0.59095,1.05E-30,1.43E-28
OR5M1,6,-0.62655,-9.9345,0.014119,0.71429,2.95E-23,1.01E-21,0.074816,1.21,0.90571,0.99108,0.22627,0.30533,-0.6821,-10.142,0.012193,0.58135,3.60E-24,1.24E-22,-0.43171,-6.8767,0.038001,0.60304,6.13E-12,7.63E-11
OFD1,6,-0.62587,-10.491,0.01421,0.71429,9.47E-26,4.09E-24,0.080405,1.3738,0.88265,0.98918,0.16951,0.23948,-0.20294,-3.6122,0.22998,0.83551,0.00030356,0.00074802,-0.00073487,-0.013395,0.82118,0.97947,0.98931,0.9925
SLC7A3,6,-0.62379,-10.182,0.014394,0.71429,2.39E-24,9.33E-23,-0.02754,-0.47476,0.67687,0.96848,0.63496,0.70917,0.038861,0.74265,0.94316,0.99241,0.45769,0.53126,-0.1571,-2.8736,0.30195,0.88038,0.0040587,0.008988
NSF,6,-0.62339,-10.349,0.01444,0.71429,4.22E-25,1.75E-23,-0.67795,-9.3616,0.012056,0.56503,7.85E-21,3.88E-19,-0.071779,-1.3136,0.54334,0.93967,0.18899,0.24797,-0.13696,-2.4406,0.34971,0.89683,0.014663,0.028053
HAUS3,6,-0.62323,-11.248,0.01444,0.71429,2.36E-29,1.57E-27,-0.36468,-6.0568,0.066285,0.70331,1.39E-09,1.26E-08,-0.48177,-8.7546,0.031813,0.62589,2.05E-18,3.88E-17,-0.76616,-12.84,0.0077928,0.59095,9.81E-38,2.64E-35
UROD,6,-0.62277,-11.218,0.01444,0.71429,3.34E-29,2.19E-27,-0.33252,-5.6513,0.084254,0.72784,1.59E-08,1.19E-07,-0.26375,-4.9422,0.14582,0.77813,7.73E-07,3.00E-06,-0.34629,-6.343,0.067477,0.64944,2.25E-10,2.16E-09
EIF1AD,6,-0.62099,-10.711,0.014531,0.71429,9.07E-27,4.42E-25,0.041273,0.72039,0.95283,0.99572,0.47129,0.55943,-0.26665,-4.8559,0.14302,0.7758,1.20E-06,4.51E-06,-0.1468,-2.7039,0.32579,0.89116,0.0068539,0.014315
KCNS2,6,-0.61847,-10.65,0.014577,0.71429,1.75E-26,8.37E-25,-0.33186,-5.2763,0.084712,0.72784,1.32E-07,8.28E-07,-0.34818,-6.2127,0.077836,0.71094,5.21E-10,3.29E-09,-0.16869,-3.0828,0.27664,0.86226,0.0020507,0.004887
DIMT1,6,-0.61614,-10.95,0.014623,0.71429,6.66E-28,3.82E-26,-0.43515,-6.5537,0.041531,0.6407,5.61E-11,6.57E-10,-0.13072,-2.5084,0.37593,0.89347,0.012126,0.02166,-0.1454,-2.7489,0.32909,0.89169,0.0059802,0.012698
NAMPT,6,-0.61545,-10.843,0.014623,0.71429,2.15E-27,1.14E-25,-0.52533,-8.1894,0.024433,0.60836,2.62E-16,7.27E-15,0.26112,5.2599,0.31671,0.87312,1.44E-07,6.33E-07,0.055751,1.0776,0.93688,0.99382,0.28122,0.36059
RANGAP1,6,-0.61502,-11.404,0.014623,0.71429,4.01E-30,2.87E-28,-0.51559,-8.7317,0.02535,0.60836,2.51E-18,8.84E-17,-0.36533,-6.9119,0.068668,0.69026,4.78E-12,4.01E-11,-0.58847,-10.66,0.01664,0.59095,1.56E-26,1.38E-24
ZNF207,6,-0.61452,-10.536,0.014669,0.71429,5.92E-26,2.61E-24,-0.011926,-0.2209,0.73835,0.97587,0.82517,0.86815,-0.32074,-6.1662,0.093605,0.72228,7.00E-10,4.33E-09,-0.25747,-4.9487,0.13747,0.75963,7.47E-07,3.75E-06
CCNA2,6,-0.61049,-10.465,0.015265,0.7249,1.24E-25,5.33E-24,-0.98445,-13.337,0.0055466,0.56503,1.41E-40,7.14E-38,-1.0554,-16.023,0.0042173,0.58128,8.82E-58,6.41E-55,-0.88819,-13.819,0.00573,0.59095,1.95E-43,8.50E-41
PSMC1,6,-0.60786,-10.335,0.015448,0.7249,4.90E-25,2.01E-23,-0.62455,-9.2817,0.015173,0.57188,1.67E-20,7.89E-19,-0.18673,-3.3608,0.25725,0.84966,0.00077729,0.0017791,-0.42824,-7.2884,0.038551,0.60323,3.14E-13,4.77E-12
TNFAIP8L2-SCNM1,4,-0.60691,-9.5618,0.015494,0.7249,1.16E-21,3.37E-20,-0.28587,-4.2734,0.11873,0.77878,1.93E-05,7.73E-05,-0.62786,-9.6695,0.014852,0.58775,4.06E-22,1.12E-20,-0.83291,-12.182,0.0064176,0.59095,3.90E-34,7.59E-32
LSM11,6,-0.60597,-12.146,0.015586,0.7249,6.01E-34,6.19E-32,-0.74151,-12.963,0.0097639,0.56503,1.98E-38,8.33E-36,-0.30396,-6.2591,0.10704,0.7329,3.87E-10,2.49E-09,-0.23582,-4.8581,0.16324,0.78683,1.19E-06,5.72E-06
SLC27A1,6,-0.60564,-11.253,0.015677,0.7249,2.24E-29,1.50E-27,-0.28075,-5.3706,0.12299,0.78257,7.85E-08,5.13E-07,-0.42166,-8.5614,0.045978,0.65135,1.12E-17,1.95E-16,-0.2676,-5.5037,0.12739,0.7439,3.72E-08,2.38E-07
SNRPD3,6,-0.60374,-8.4813,0.015815,0.7249,2.23E-17,3.88E-16,-0.065585,-0.90103,0.54632,0.949,0.36757,0.45752,-0.46006,-6.5288,0.035664,0.63355,6.63E-11,4.77E-10,-0.19282,-2.901,0.23062,0.83411,0.0037201,0.0083183
DDAH2,6,-0.60177,-10.576,0.016044,0.7249,3.86E-26,1.74E-24,-0.38329,-6.2008,0.057254,0.67967,5.62E-10,5.49E-09,0.042455,0.81219,0.9576,0.99471,0.41668,0.49037,-0.25342,-4.5929,0.14123,0.76357,4.37E-06,1.88E-05
ATP5A1,6,-0.60073,-11.503,0.016227,0.7249,1.28E-30,9.38E-29,-0.81577,-12.954,0.0082512,0.56503,2.24E-38,9.05E-36,-0.75607,-13.743,0.0089388,0.58128,5.59E-43,1.16E-40,-0.60976,-11.272,0.015127,0.59095,1.80E-29,2.13E-27
NARS2,6,-0.60072,-10.875,0.016227,0.7249,1.52E-27,8.21E-26,-0.69059,-10.576,0.011414,0.56503,3.83E-26,3.64E-24,-0.31422,-5.6904,0.098877,0.72546,1.27E-08,6.56E-08,-0.34693,-6.379,0.067064,0.64944,1.78E-10,1.74E-09
SF1,6,-0.59885,-10.466,0.016319,0.7249,1.24E-25,5.32E-24,-1.0084,-13.345,0.0052716,0.56503,1.26E-40,6.57E-38,-0.59487,-10.15,0.017236,0.59528,3.31E-24,1.15E-22,-0.53988,-9.1914,0.020353,0.59095,3.88E-20,1.64E-18
TUBGCP6,6,-0.59719,-10.604,0.016457,0.7249,2.87E-26,1.32E-24,-0.49201,-7.7687,0.02975,0.61765,7.93E-15,1.73E-13,-0.29147,-5.3749,0.11708,0.74722,7.66E-08,3.52E-07,-0.21276,-3.9335,0.19702,0.8094,8.37E-05,0.00027375
SMARCB1,6,-0.59702,-11.065,0.016457,0.7249,1.86E-28,1.13E-26,-0.63013,-10.014,0.014715,0.57188,1.32E-23,9.19E-22,-0.49484,-9.1568,0.029338,0.62431,5.35E-20,1.18E-18,-0.65223,-11.506,0.012835,0.59095,1.23E-30,1.64E-28
DYRK1A,6,-0.59533,-10.238,0.016457,0.7249,1.34E-24,5.34E-23,-0.32901,-5.1853,0.086317,0.73013,2.16E-07,1.30E-06,-0.08325,-1.5606,0.50869,0.93369,0.11861,0.16478,-0.11022,-2.0291,0.42228,0.91724,0.042453,0.071272
DHDDS,6,-0.5942,-10.476,0.016548,0.7249,1.12E-25,4.80E-24,-0.34221,-5.8927,0.078157,0.71836,3.80E-09,3.18E-08,-0.29896,-5.7701,0.11107,0.73782,7.92E-09,4.20E-08,-0.42866,-7.9736,0.03846,0.60323,1.54E-15,3.35E-14
POP5,6,-0.5907,-11.103,0.016915,0.7341,1.22E-28,7.51E-27,-0.90541,-13.376,0.0067843,0.56503,8.34E-41,4.55E-38,-1.0275,-16.966,0.004584,0.58128,1.47E-64,1.89E-61,-0.93129,-15.509,0.0050882,0.59095,3.04E-54,2.21E-51
YARS,6,-0.59063,-10.377,0.016915,0.7341,3.17E-25,1.32E-23,-0.38962,-6.1369,0.054183,0.66723,8.41E-10,7.96E-09,0.071943,1.4176,0.92514,0.99131,0.1563,0.20978,-0.30729,-5.5385,0.091497,0.69207,3.05E-08,1.98E-07
PTPN11,6,-0.59029,-9.215,0.016915,0.7341,3.11E-20,7.68E-19,-0.26016,-4.1552,0.14284,0.79869,3.25E-05,0.00012379,-0.38229,-6.6694,0.060601,0.67457,2.57E-11,1.96E-10,-0.31709,-5.5326,0.085079,0.68222,3.15E-08,2.05E-07
BAGE,4,-0.58982,-8.2751,0.016961,0.7341,1.28E-16,2.07E-15,-0.036625,-0.57283,0.64373,0.96597,0.56676,0.64764,-0.20202,-3.3458,0.23145,0.83551,0.00082037,0.0018697,-0.37632,-5.9916,0.054504,0.62368,2.08E-09,1.68E-08
RPL3,6,-0.58881,-10.802,0.017098,0.7341,3.38E-27,1.76E-25,-1.2632,-16.079,0.003163,0.56503,3.57E-58,7.79E-55,-1.016,-16.362,0.0046298,0.58128,3.59E-60,2.91E-57,-1.9867,-19.355,0.00041256,0.59095,1.83E-83,5.72E-80
POLR2E,6,-0.58809,-9.9605,0.01719,0.7341,2.27E-23,7.87E-22,-0.44302,-6.7251,0.039881,0.6407,1.75E-11,2.25E-10,-0.067059,-1.2322,0.55994,0.94414,0.21789,0.28093,-0.14841,-2.6534,0.32161,0.88685,0.0079686,0.016369
SRSF7,6,-0.58806,-10.911,0.01719,0.7341,1.02E-27,5.62E-26,-0.57285,-9.242,0.019253,0.59914,2.42E-20,1.11E-18,-0.23236,-4.515,0.18478,0.80652,6.33E-06,2.11E-05,-0.47811,-7.9075,0.028788,0.59095,2.63E-15,5.48E-14
FARSB,6,-0.5878,-10.634,0.01719,0.7341,2.06E-26,9.76E-25,-0.60878,-9.6547,0.016227,0.57188,4.69E-22,2.63E-20,-0.84879,-14.275,0.0065551,0.58128,3.12E-46,8.62E-44,-0.55769,-9.8208,0.018382,0.59095,9.16E-23,5.35E-21
YME1L1,6,-0.58691,-10.022,0.01719,0.7341,1.22E-23,4.42E-22,-0.61269,-8.9218,0.015952,0.57188,4.59E-19,1.78E-17,0.095868,1.8233,0.83479,0.98294,0.068259,0.10154,-0.097887,-1.7804,0.46005,0.92737,0.075016,0.11691
GUK1,6,-0.58373,-11.072,0.017557,0.73466,1.72E-28,1.05E-26,-0.49053,-8.3129,0.030025,0.62027,9.34E-17,2.74E-15,-0.20482,-4.073,0.22746,0.83473,4.64E-05,0.00013326,-0.24113,-4.7149,0.15622,0.78372,2.42E-06,1.10E-05
UBE2M,6,-0.58341,-10.619,0.017603,0.73466,2.42E-26,1.12E-24,-0.8696,-12.55,0.0073344,0.56503,3.96E-36,1.37E-33,-0.85773,-14.294,0.0062342,0.58128,2.39E-46,6.68E-44,-0.91882,-14.823,0.0053174,0.59095,1.04E-49,6.29E-47
UBL5,6,-0.58148,-9.7993,0.017923,0.73466,1.13E-22,3.68E-21,-0.82382,-10.844,0.008022,0.56503,2.13E-27,2.26E-25,-0.42942,-7.3115,0.043823,0.65105,2.64E-13,2.64E-12,-0.5422,-8.831,0.020078,0.59095,1.04E-18,3.59E-17
CDC7,6,-0.58038,-10.34,0.017923,0.73466,4.63E-25,1.90E-23,-0.64295,-9.8205,0.013614,0.56897,9.19E-23,5.64E-21,-0.45274,-8.094,0.037726,0.63905,5.77E-16,7.98E-15,-0.31061,-5.6349,0.089342,0.68901,1.75E-08,1.19E-07
PCNA,6,-0.57938,-9.4624,0.017969,0.73466,3.01E-21,8.35E-20,-0.89242,-10.875,0.0070594,0.56503,1.52E-27,1.65E-25,-0.83136,-12.241,0.0068302,0.58128,1.88E-34,1.83E-32,-0.78627,-11.508,0.0072427,0.59095,1.20E-30,1.61E-28
IL12RB1,6,-0.57828,-10.109,0.018153,0.73466,5.05E-24,1.89E-22,-0.14438,-2.423,0.32441,0.88911,0.015391,0.030262,-0.31458,-5.682,0.09851,0.72546,1.33E-08,6.86E-08,-0.44192,-7.6602,0.035709,0.60015,1.86E-14,3.41E-13
ABCB7,6,-0.57768,-10.72,0.018198,0.73466,8.23E-27,4.04E-25,-0.66828,-10.627,0.012698,0.56897,2.24E-26,2.15E-24,-0.41639,-7.7996,0.047628,0.65135,6.21E-15,7.61E-14,-0.25437,-4.847,0.14059,0.76337,1.25E-06,6.03E-06
JUP,6,-0.57762,-10.875,0.018198,0.73466,1.52E-27,8.20E-26,0.036552,0.68856,0.9333,0.99456,0.4911,0.57801,-0.023941,-0.48594,0.70635,0.97117,0.62701,0.69054,0.14264,2.9377,0.573,0.94631,0.0033064,0.0074855
IRX5,6,-0.57686,-11.067,0.01829,0.73466,1.81E-28,1.10E-26,-0.69835,-11.525,0.010864,0.56503,9.91E-31,1.58E-28,-0.164,-3.301,0.30002,0.8685,0.00096355,0.0021643,-0.19189,-3.8093,0.2319,0.83448,0.00013937,0.00043254
LETM1,6,-0.57596,-9.4566,0.018382,0.73466,3.18E-21,8.78E-20,-0.18549,-3.0394,0.24167,0.84515,0.0023703,0.0058197,-0.22342,-4.0815,0.19766,0.81875,4.48E-05,0.00012885,-0.36992,-6.4506,0.056704,0.62368,1.11E-10,1.13E-09
AAK1,6,-0.57413,-7.7225,0.018519,0.73466,1.14E-14,1.45E-13,-0.1019,-1.517,0.43608,0.93112,0.12926,0.19035,-0.29038,-4.6695,0.11845,0.74985,3.02E-06,1.06E-05,-0.34512,-5.3958,0.068072,0.64944,6.82E-08,4.16E-07
BARD1,6,-0.57354,-10.72,0.018519,0.73466,8.23E-27,4.04E-25,-0.047138,-0.8662,0.60527,0.96095,0.38638,0.47675,-0.78887,-13.759,0.0079303,0.58128,4.48E-43,9.41E-41,-0.62922,-11.212,0.014165,0.59095,3.56E-29,4.07E-27
WDR24,6,-0.57341,-9.5202,0.018519,0.73466,1.73E-21,4.90E-20,-0.39527,-6.7133,0.052074,0.66187,1.90E-11,2.43E-10,-0.53753,-9.8755,0.023378,0.62024,5.32E-23,1.62E-21,-0.33326,-6.2886,0.074353,0.66231,3.20E-10,3.01E-09
SMC1A,6,-0.5717,-10.402,0.018565,0.73466,2.44E-25,1.03E-23,-0.74246,-11.156,0.0097639,0.56503,6.71E-29,9.03E-27,-0.27611,-5.2079,0.1333,0.76769,1.91E-07,8.20E-07,-0.29988,-5.5625,0.096906,0.69651,2.66E-08,1.75E-07
SMARCC2,6,-0.57074,-9.8771,0.018565,0.73466,5.23E-23,1.75E-21,0.11949,2.2579,0.72079,0.97333,0.023949,0.04451,-0.37749,-7.1394,0.062801,0.68159,9.37E-13,8.69E-12,-0.46108,-8.4776,0.031492,0.59448,2.30E-17,6.54E-16
GAPDH,6,-0.57056,-11.512,0.018611,0.73466,1.15E-30,8.45E-29,-0.97616,-15.983,0.0056842,0.56503,1.67E-57,3.31E-54,-0.60038,-11.848,0.016823,0.59098,2.20E-32,1.72E-30,-0.91557,-16.84,0.0054091,0.59095,1.24E-63,1.81E-60
ELP2,6,-0.56854,-8.9805,0.018657,0.73466,2.70E-19,5.95E-18,-0.018399,-0.29352,0.71203,0.97215,0.76912,0.82297,-0.04138,-0.73471,0.64433,0.96254,0.46251,0.53558,-0.067708,-1.18,0.56026,0.94425,0.23798,0.31335
ATP6V1B2,6,-0.56833,-10.887,0.018657,0.73466,1.33E-27,7.27E-26,-0.39357,-6.9189,0.052487,0.66187,4.55E-12,6.46E-11,-0.14128,-2.8474,0.35205,0.88679,0.0044077,0.0086523,-0.015506,-0.31525,0.75989,0.96997,0.75257,0.80414
RAC1,6,-0.56802,-10.347,0.018657,0.73466,4.31E-25,1.78E-23,-0.09604,-1.6989,0.45185,0.93198,0.089331,0.13904,-0.088336,-1.7233,0.49306,0.93271,0.084833,0.1228,-0.0057683,-0.11287,0.80032,0.97608,0.91013,0.93284
PHF12,6,-0.56559,-10.896,0.018886,0.73571,1.21E-27,6.63E-26,-0.67843,-10.246,0.011964,0.56503,1.23E-24,9.89E-23,-0.34112,-6.7006,0.081274,0.71474,2.08E-11,1.60E-10,-0.58709,-10.908,0.016686,0.59095,1.05E-27,1.03E-25
SARS,6,-0.56238,-10.623,0.019344,0.74824,2.32E-26,1.08E-24,-0.2478,-4.4322,0.15554,0.80968,9.33E-06,4.03E-05,-0.38822,-7.4135,0.058125,0.67279,1.23E-13,1.28E-12,-0.35667,-6.7734,0.06248,0.64384,1.26E-11,1.49E-10
LAMP3,6,-0.56074,-11.542,0.019436,0.74824,8.08E-31,6.02E-29,-0.2977,-5.7919,0.10947,0.76661,6.96E-09,5.56E-08,-0.28741,-6.0493,0.12061,0.75265,1.45E-09,8.60E-09,0.032519,0.70524,0.96062,0.99508,0.48066,0.56236
INTS6,6,-0.55987,-10.111,0.019436,0.74824,4.93E-24,1.85E-22,-0.059542,-1.1072,0.56337,0.95273,0.26822,0.35184,-0.17356,-3.4599,0.28095,0.86229,0.00054036,0.0012764,-0.22162,-4.3366,0.18295,0.79818,1.45E-05,5.57E-05
GPR137,6,-0.5592,-10.485,0.019482,0.74824,1.01E-25,4.35E-24,0.078991,1.4888,0.88783,0.99006,0.13655,0.19937,-0.012378,-0.25005,0.74843,0.9789,0.80255,0.84288,-0.17149,-3.3426,0.26986,0.85737,0.00082988,0.0021658
RPL17,5,-0.55914,-10.423,0.019482,0.74824,1.96E-25,8.33E-24,-0.60189,-10.037,0.016502,0.57234,1.05E-23,7.43E-22,-1.0284,-17.406,0.004584,0.58128,7.49E-68,1.02E-64,-1.0955,-18.057,0.0036214,0.59095,6.98E-73,1.69E-69
NUFIP1,6,-0.55679,-8.8218,0.019895,0.74916,1.13E-18,2.34E-17,-0.17996,-2.8561,0.25015,0.84851,0.0042886,0.0098499,-0.23615,-4.1622,0.17855,0.80243,3.15E-05,9.32E-05,-0.20395,-3.5696,0.21151,0.82249,0.00035755,0.0010127
TAF8,6,-0.55667,-10.371,0.019895,0.74916,3.34E-25,1.39E-23,-0.35094,-5.9897,0.072748,0.70769,2.10E-09,1.85E-08,-0.82572,-14.183,0.0070135,0.58128,1.17E-45,3.04E-43,-0.87461,-14.616,0.0059592,0.59095,2.22E-48,1.27E-45
RPS4X,6,-0.5562,-10.138,0.01994,0.74916,3.76E-24,1.44E-22,-0.47265,-7.6252,0.033188,0.62153,2.44E-14,4.94E-13,-0.77368,-13.118,0.0083887,0.58128,2.59E-39,3.56E-37,-1.0134,-15.907,0.0040798,0.59095,5.66E-57,4.57E-54
ZNF732,6,-0.55578,-9.5942,0.019986,0.74916,8.45E-22,2.50E-20,-0.0077645,-0.13228,0.75494,0.97705,0.89476,0.92246,0.001727,0.032384,0.79977,0.98139,0.97417,0.97978,-0.059131,-1.0853,0.59092,0.94933,0.27778,0.35692
C14orf166B,6,-0.55556,-9.4698,0.020032,0.74916,2.80E-21,7.81E-20,-0.35026,-5.7403,0.073023,0.70769,9.45E-09,7.38E-08,-0.027897,-0.54677,0.69361,0.96914,0.58454,0.65159,0.00086567,0.016862,0.82778,0.98021,0.98655,0.99031
MCM7,6,-0.55481,-10.795,0.020215,0.74916,3.62E-27,1.85E-25,-0.7694,-12.484,0.0089388,0.56503,9.11E-36,2.88E-33,-0.38355,-7.5426,0.060096,0.67457,4.61E-14,5.09E-13,-0.4845,-9.2517,0.0281,0.59095,2.21E-20,9.64E-19
NSL1,6,-0.55475,-9.375,0.020215,0.74916,6.92E-21,1.85E-19,-0.20945,-3.6597,0.20623,0.84098,0.00025252,0.0007908,-0.15447,-3.0066,0.32097,0.8739,0.0026415,0.0054107,-0.2532,-4.7894,0.1416,0.76423,1.67E-06,7.84E-06
MDN1,6,-0.55455,-9.6899,0.020261,0.74916,3.33E-22,1.03E-20,-0.2405,-4.0711,0.16392,0.81495,4.68E-05,0.00017291,-0.62638,-10.875,0.014944,0.58775,1.52E-27,7.22E-26,-0.77684,-12.854,0.0074719,0.59095,8.19E-38,2.23E-35
SKA2,6,-0.55311,-9.0639,0.020353,0.74916,1.26E-19,2.90E-18,-0.7161,-9.3286,0.010497,0.56503,1.07E-20,5.20E-19,-0.46899,-7.6405,0.034013,0.63325,2.16E-14,2.50E-13,-0.3568,-5.8762,0.062434,0.64384,4.20E-09,3.21E-08
FAM157A,4,-0.55297,-7.7555,0.020399,0.74916,8.80E-15,1.13E-13,-0.79927,-8.8211,0.0083887,0.56503,1.13E-18,4.17E-17,-0.26576,-3.8787,0.14339,0.7758,0.00010502,0.00028383,-0.41479,-5.7683,0.041852,0.60339,8.01E-09,5.79E-08
NUDT14,6,-0.55129,-10.688,0.020582,0.74922,1.16E-26,5.63E-25,-0.11086,-2.0416,0.41036,0.9226,0.041195,0.071284,0.013878,0.2844,0.84566,0.983,0.7761,0.82048,-0.087189,-1.7435,0.49425,0.93389,0.081238,0.12517
TEFM,6,-0.5506,-9.265,0.020674,0.74922,1.95E-20,4.93E-19,-0.13832,-2.3491,0.33931,0.8949,0.018817,0.036055,-0.25114,-4.6564,0.16035,0.79122,3.22E-06,1.13E-05,-0.44419,-7.7855,0.035297,0.60015,6.94E-15,1.37E-13
TOMM20,6,-0.54933,-7.0322,0.020949,0.74922,2.03E-12,1.87E-11,-0.22743,-2.6673,0.18125,0.82626,0.0076463,0.016366,-0.039321,-0.56088,0.6518,0.96445,0.57488,0.64283,-0.49301,-6.0957,0.027137,0.59095,1.09E-09,9.27E-09
PPP1CB,6,-0.54898,-9.4982,0.020995,0.74922,2.13E-21,6.02E-20,-0.49346,-7.013,0.029521,0.61582,2.33E-12,3.45E-11,-0.52885,-8.9639,0.024754,0.6205,3.14E-19,6.42E-18,-0.31208,-5.4747,0.088334,0.68833,4.38E-08,2.76E-07
USF2,6,-0.54632,-9.7626,0.021361,0.74922,1.63E-22,5.21E-21,-0.38197,-6.2822,0.057896,0.6827,3.34E-10,3.39E-09,-0.43201,-7.7257,0.042998,0.64779,1.11E-14,1.33E-13,0.12127,2.332,0.65835,0.95631,0.0197,0.036445
ATP5J,6,-0.5456,-9.4893,0.021499,0.74922,2.33E-21,6.52E-20,-0.21985,-3.5683,0.19143,0.83633,0.00035927,0.0010825,-0.25824,-4.6678,0.15182,0.78142,3.04E-06,1.07E-05,-0.5114,-8.6074,0.023883,0.59095,7.47E-18,2.28E-16
RNPS1,6,-0.54479,-9.9785,0.021545,0.74922,1.89E-23,6.61E-22,-0.6068,-9.7977,0.016273,0.57188,1.15E-22,7.02E-21,-0.71422,-12.465,0.010635,0.58128,1.16E-35,1.25E-33,-0.40523,-7.3799,0.044098,0.60388,1.58E-13,2.53E-12
THAP11,6,-0.54469,-9.8945,0.021545,0.74922,4.40E-23,1.48E-21,-0.62676,-10.287,0.01499,0.57188,8.10E-25,6.69E-23,0.095041,1.974,0.83708,0.98294,0.048378,0.074939,-0.11758,-2.3465,0.40215,0.91362,0.01895,0.035215
HNRNPU,6,-0.5446,-8.767,0.021545,0.74922,1.83E-18,3.71E-17,-0.68693,-8.7569,0.011598,0.56503,2.01E-18,7.14E-17,-0.4779,-7.6035,0.032271,0.62689,2.88E-14,3.26E-13,-0.28874,-4.7501,0.10603,0.71147,2.03E-06,9.38E-06
ELP3,6,-0.54429,-9.5344,0.021636,0.74922,1.51E-21,4.32E-20,-0.43609,-6.7394,0.041348,0.6407,1.59E-11,2.06E-10,-0.39674,-7.0078,0.054458,0.66723,2.42E-12,2.12E-11,-0.70332,-10.133,0.010543,0.59095,3.92E-24,2.69E-22
NUP54,6,-0.54389,-8.8614,0.021728,0.74922,7.90E-19,1.66E-17,-1.0412,-12.425,0.0047674,0.56503,1.92E-35,5.80E-33,-0.26478,-4.4769,0.14472,0.77644,7.57E-06,2.49E-05,-0.40112,-6.4884,0.045611,0.6059,8.68E-11,8.95E-10
MTOR,6,-0.54377,-9.65,0.021774,0.74922,4.92E-22,1.49E-20,-0.74251,-9.96,0.0097639,0.56503,2.28E-23,1.53E-21,-0.24583,-4.5408,0.16663,0.79341,5.60E-06,1.88E-05,-0.13091,-2.4425,0.36681,0.90416,0.014585,0.027929
KMT2D,4,-0.54283,-8.7096,0.021866,0.74922,3.05E-18,6.00E-17,-0.35014,-5.1862,0.073023,0.70769,2.15E-07,1.29E-06,-0.48516,-7.715,0.03108,0.62431,1.21E-14,1.44E-13,-0.17469,-2.8907,0.26317,0.85254,0.0038438,0.0085599
VN1R1,6,-0.54254,-9.2954,0.021957,0.74922,1.47E-20,3.76E-19,-0.1273,-2.0779,0.36585,0.90569,0.037721,0.066069,-0.23752,-4.2529,0.1768,0.8,2.11E-05,6.42E-05,-0.029161,-0.538,0.70438,0.9625,0.59058,0.66185
RAB25,6,-0.54222,-8.3206,0.022003,0.74922,8.75E-17,1.44E-15,-0.43675,-5.9201,0.041302,0.6407,3.22E-09,2.74E-08,-0.42324,-6.5079,0.045565,0.65135,7.62E-11,5.44E-10,-0.40859,-6.2139,0.04341,0.60388,5.17E-10,4.67E-09
KLK11,6,-0.53906,-8.8329,0.022416,0.75204,1.02E-18,2.13E-17,0.064656,1.0574,0.94866,0.99543,0.29033,0.37593,-0.10121,-1.7923,0.45583,0.92061,0.073078,0.10777,-0.23024,-3.9001,0.17066,0.79083,9.61E-05,0.00031059
RPL13A,6,-0.53845,-9.0626,0.022553,0.75204,1.27E-19,2.93E-18,-0.75246,-11.09,0.0093972,0.56503,1.41E-28,1.80E-26,-0.68309,-11.799,0.012193,0.58135,3.96E-32,2.99E-30,-0.56353,-9.8638,0.018061,0.59095,5.97E-23,3.57E-21
ZNHIT2,6,-0.53595,-9.5646,0.022737,0.75204,1.13E-21,3.29E-20,-0.90369,-12.484,0.006876,0.56503,9.09E-36,2.88E-33,-0.59935,-10.292,0.016915,0.5923,7.69E-25,2.87E-23,-0.62653,-10.528,0.014302,0.59095,6.40E-26,5.31E-24
CHIT1,6,-0.53523,-9.3358,0.022828,0.75204,1.00E-20,2.61E-19,-0.11587,-2.1271,0.39647,0.9174,0.033416,0.059404,-0.27487,-5.3659,0.13495,0.76873,8.05E-08,3.69E-07,-0.36495,-6.9386,0.058675,0.63072,3.96E-12,5.10E-11
PAGE2B,5,-0.53502,-8.3477,0.022874,0.75204,6.96E-17,1.16E-15,-0.04974,-0.75561,0.59537,0.95931,0.44988,0.53927,0.010972,0.18542,0.83355,0.98294,0.8529,0.88411,-0.20455,-3.2912,0.21077,0.82245,0.00099756,0.0025551
BIRC5,6,-0.53476,-9.4462,0.022874,0.75204,3.51E-21,9.65E-20,-1.154,-12.352,0.0042173,0.56503,4.76E-35,1.33E-32,-0.41384,-7.3295,0.04827,0.65135,2.31E-13,2.33E-12,-0.42052,-7.3225,0.040523,0.60339,2.43E-13,3.77E-12
CSPG5,6,-0.53412,-9.2481,0.022966,0.75204,2.28E-20,5.72E-19,-0.22976,-3.6943,0.17841,0.82365,0.00022051,0.00070093,-0.14771,-2.7103,0.33683,0.88032,0.0067218,0.012701,-0.036744,-0.68028,0.67334,0.95739,0.49633,0.57685
